		
'19606528'	'764823923414425600'	Don't panic! Try the resilience regimen during panicked situations: #HBSWK\r\n
'282389552'	'762901208663138304'	'Downtown Seattle over on GMG today with @express #ExpressPartner #ExpressLife\r\n'
'19983221'	'763687913414615040'	'Football clubs among employers failing to pay national minimum wage\r\n'
'117187755'	'757943643852402688'	Donte Moncrief says his toe feels good and he's ready to go. #Colts\r\n
'21666928'	'685244644683333632'	'He finally got out of his car & police are apprehending him at Bway Ext & 36. Avoid the area\r\n'
'19103481'	'759137627660492801'	'Win 100 rides up to $10 each when you take the most US rides 7/29-8/5 & pay with #ApplePay.\r\n'
'4656677481'	'763379420937740288'	Distracted driving is dangerous & can kill. Don't text FB, IG, or Snapchat while you drive even if stopped at light\r\n
'14095883'	'762274522825392128'	'More information here:\r\n'
'229556279'	'619154504257290241'	#Runsimple the truck is in London. favourite showcase is Sports One what's yours @maggiecj  ?\r\n
'98809456'	'740038907669024768'	'Normal day in San Fran?! Guy shooting up on the sidewalk!! I was domed out for a while this morning after seeing it\r\n'
'21910850'	'759159761325535232'	'@TheeAndo giving away love. #AmericanLove\r\n'
'16211434'	'762170173218586624'	There's a bus in Prague that can do push-ups:\r\n
'27553776'	'758795274630201345'	'Getting ready for #MLSAllStar!\r\n'
